,FAMILY_INCOME_BRACKET,HOUSEHOLD_SIZE,SES_COMPOSITE_URBANICITY_ADJ,NUM_HS_ATTENDED,SCHOOL_PROBLEM_SCALE,SCHOOL_CLIMATE_SCALE,STUDENT_SCHOOL_MOTIVATION,TOTAL_AP_CREDITS,RIGOR,HS_GPA_12TH,HS_GPA_11TH,HS_GPA_10TH,HS_GPA_9TH,HS_GPA_ACAD,HS_GPA_WGT,SAT_WRIT_AVG,ACT_SCHOOL_AVG,FRESHMAN_GPA,FRESHMAN_CREDITS_ATTEMPTED,FRESHMAN_CREDITS_EARNED,REMEDIAL_COURSE_RATIO,ENROLLMENT_ATTAINMENT_STATUS,SAT_SCHOOL_AVG,HOURS_HOMEWORK
1465,13,5,0.444,1,-0.11,0.55,0.55,0.0,1,3.5,3.5,3.5,3.5,3.5,3.5,530,24,-6.0,-6,-6,-6.0,-6,1080,5
1466,2,6,-0.9495,2,-8.0,-8.0,-0.9,0.0,6,-1.0,-1.0,-1.0,1.5,1.5,1.5,-6,-6,-6.0,-6,-6,-6.0,-6,-12,3
1467,5,4,0.8171,1,-0.39,0.68,1.06,8.0,1,4.0,4.0,4.0,4.0,4.0,4.0,510,-9,4.0,34,34,0.0,3,1010,6
1468,1,2,-0.9104,1,-0.17,1.14,0.89,0.0,1,3.5,3.5,3.5,3.5,3.5,3.5,-9,-9,3.8,12,12,0.0,1,-18,4
1469,1,4,-0.7176,1,0.7,-0.06,-8.0,0.0,6,-1.0,-1.0,-1.0,0.25,0.25,0.25,440,20,-6.0,-6,-6,-6.0,-6,890,5
1470,-8,-8,-0.0618,1,0.71,-0.16,1.03,0.0,5,4.0,3.5,3.5,3.5,3.5,3.5,400,16,-8.0,-8,-8,-8.0,-8,800,-4
1471,2,3,0.4777,1,0.46,-0.62,1.06,0.0,4,3.0,3.0,2.0,2.5,2.5,2.5,470,18,-6.0,-6,-6,-6.0,-6,960,5
1472,4,2,0.9515,2,-9.0,-9.0,1.06,0.0,3,3.0,2.0,3.5,2.5,2.5,3.0,-6,-6,-7.0,0,0,0.1,3,-12,3
1473,3,8,-0.0621,1,-0.14,-1.76,-0.72,0.0,3,2.0,2.0,2.5,2.0,1.5,2.0,-9,-9,-6.0,-6,-6,-6.0,-6,-18,5
1474,2,5,-1.0699,1,-0.39,-0.05,0.11,0.0,6,3.0,2.5,2.5,2.0,2.0,2.5,400,-9,-6.0,-6,-6,-6.0,-6,800,-13
1475,7,4,0.5421,1,-0.62,-0.46,-2.13,2.0,1,3.5,3.5,3.5,3.0,3.5,4.0,520,24,3.2,32,32,0.0,3,1100,4
1476,4,11,0.5845,1,0.4,-0.2,0.67,0.0,5,2.0,2.5,3.0,2.0,2.0,2.5,530,23,0.9,18,5,0.5,1,1120,6
1477,5,5,0.6097,1,0.66,-1.0,-8.0,0.0,6,-1.0,-1.0,3.5,2.5,2.5,3.0,-9,-9,-6.0,-6,-6,-6.0,-6,-18,4
